wiki/career/career-growth-plan.md	Career Growth Plan	career	hub		my growth plan,my career goals,what I want next,my development,the AWS exam,AWS data engineering exam,my conference budget,the interview panel,my 1:1 notes,what did Tomas say,my feedback,harbour,harbor analytics,harboranalytics	org/harbor-analytics,activity/study	What Mira wants next and what was agreed with her manager — leading a project's design, the parked AWS exam, one conference, and a seat on the interview panel.
wiki/career/cv-full-text.md	Mira Okafor — CV, Full Text	career	detail		my CV,my resume,my curriculum vitae,the CV in full,my profile line,my skills,my languages,Leeds Data Meetup,Yoruba,what does my CV say,harbour,fulltext,harbor analytics,harboranalytics,quayside logistics,quaysidelogistics,university of lagos,university of leeds,universityoflagos,universityofleeds	org/harbor-analytics,org/quayside-logistics,org/university-of-leeds,org/university-of-lagos,tech/python,tech/sql,tech/airflow,tech/postgres,tech/dbt,form/full-text	The full text of Mira's CV as captured — profile, both roles, degrees, skills, the dbt certification, the publication and the volunteering.
wiki/career/education-and-certifications.md	Education and Certifications	career	hub		my education,my degrees,my MSc,my BSc,my masters,my dissertation,University of Leeds,University of Lagos,my certifications,dbt certification,my qualifications,where did I study,what did I study,information retrieval,informationretrieval,universityoflagos,universityofleeds	org/university-of-leeds,org/university-of-lagos,field/information-retrieval,tech/dbt,activity/study	Mira's MSc Information Science at Leeds with distinction, BSc Mathematics at Lagos, and the dbt Analytics Engineering certification.
wiki/career/harbor-analytics.md	Harbor Analytics	career	hub		Harbor Analytics,my employer,where I work,my job,my current role,my team,my colleagues,who I work with,the ops team,the ops floor,the platform team,my current employer,who do I work for,harbour,data engineering,dataengineering,harboranalytics	org/harbor-analytics,tech/postgres,tech/airflow,tech/python,tech/sql,tech/dbt,field/data-engineering,domain/logistics	Mira's employer since August 2022, where she is a data engineer on the ingestion pipelines behind the operations dashboards and lead engineer on Tidewater.
wiki/career/quayside-logistics.md	Quayside Logistics	career	hub		Quayside Logistics,Quayside,my first job,junior analyst,my previous job,where I worked before,the carrier scorecard,my old employer,data engineering,dataengineering,quaysidelogistics	org/quayside-logistics,tech/sql,field/data-engineering,domain/logistics	Mira's first job, junior analyst from 2021 to 2022, where she moved weekly delivery reporting off spreadsheets and built the first carrier scorecard.
wiki/ideas/allotment-soil-sensor.md	Allotment Soil Sensor	ideas	idea	seed	soil sensor,soil moisture sensor,the allotment sensor,moisture sensor,ESP32 sensor,when to water,watering sensor,capacitive probe,the £40 sensor,personal project,personalproject	tech/esp32,tech/postgres,domain/gardening,subject/allotment,activity/personal-project	An ESP32 and a capacitive moisture probe on solar power, reporting into Postgres every half hour, so watering the allotment stops being a guess. Budget £40.
wiki/ideas/bird-box-camera.md	Bird Box Camera	ideas	idea	seed	bird box camera,bird box,nest camera,the shed camera,Raspberry Pi camera,Pi Zero camera,infrared camera,the £65 idea,is anything nesting,personal project,personalproject,raspberrypi	tech/raspberry-pi,domain/gardening,subject/allotment,activity/personal-project	A Raspberry Pi Zero 2 W and an infrared camera inside the allotment shed's bird box, sending stills to the home server, so nesting can be seen without opening it. Budget £65.
wiki/journal/journal-2026-03.md	Journal — March 2026	journal	log		March 2026,journal March 2026,March 2026 journal,what did I do in March,what happened in March 2026,2026-03		Dated record for March 2026 — Tidewater's kickoff, the Postgres choice, Airflow and the two-year backfill, the paper draft, the allotment and a 1:1.
wiki/journal/journal-2026-04.md	Journal — April 2026	journal	log		April 2026,journal April 2026,April 2026 journal,what did I do in April,what happened in April 2026,2026-04,this month,current month,latest,today,this week,recent work,latest log,current		Dated record for April 2026 — the invoice index, the paper submitted, the KPI merge, the deadline moving to 15 May, the staging deploy and the Driftwood intro.
wiki/learning/rate-limiting-algorithms.md	Rate Limiting Algorithms	learning	hub		rate limiting,rate limits,how to rate limit,fixed window,sliding window,sliding window log,sliding window counter,leaky bucket,boundary spike,which rate limiter should I use,throttling,rate limit errors,data engineering,dataengineering,leakybucket,ratelimiting,token bucket,tokenbucket	field/data-engineering,method/rate-limiting,method/token-bucket,method/leaky-bucket,form/reference,activity/study	The five common ways to limit a request rate and when each fits — fixed and sliding windows, the leaky bucket and the token bucket Mira used on the carrier API.
wiki/learning/rate-limiting-token-bucket.md	The Token Bucket	learning	detail		token bucket,token buckets,capacity and refill,refill rate,lazy top up,bucket capacity,how does a token bucket work,client side rate limiting,clock jump,costly requests,data engineering,dataengineering,ratelimiting,tokenbucket,refill_rate	field/data-engineering,method/rate-limiting,method/token-bucket,form/reference,activity/study	How a token bucket works, how to implement one with two numbers and no timer, how to choose its capacity and refill rate, and the settings Tidewater's carrier loader runs.
wiki/people/dayo.md	Dayo	people	person		Dayo,whose birthday was in London,the thirtieth birthday,London birthday		Whose thirtieth birthday took Mira to London at the end of April 2026; how Dayo relates to Mira has not been stated.
wiki/people/hannah-voss.md	Hannah Voss	people	person		Hannah,Hannah Voss,Voss,the ops lead,ops lead,who runs the ops floor,who chose the late definition,harbour,harbor analytics,harboranalytics	rel/colleague,org/harbor-analytics	The ops lead at Harbor Analytics who runs the ops floor, chose what "late" means for Tidewater, and trusted only one tab of the old spreadsheet.
wiki/people/ines-duarte.md	Ines Duarte	people	person		Ines,Ines Duarte,Duarte,the data scientist,who owns Driftwood,who wants to read my tables,harbour,harbor analytics,harboranalytics	rel/colleague,org/harbor-analytics	The data scientist at Harbor Analytics who owns Driftwood, the warehouse capacity forecast that reads Tidewater's Postgres through a read-only role.
