wiki/profile/now.md	Key Takeaways	13	16	Nothing is in flight — no node has an open Status Log.
wiki/profile/now.md	Open Items	17	21	Item | Status | As of | Latest entry | | --- | --- | --- | --- |
wiki/profile/now.md	How This Page Works	22	27	Generated by `tools/build-index.js` on every build. Never edit it by hand** — edits are overwritten. - An item appears here when its node has a `## St
wiki/profile/now.md	Related	28	31	[[owner-identity|Who Owner is]] — the stable facts this page leaves out. - [[vault-capture-protocol|Vault capture protocol]] — how a status change get
wiki/profile/owner-identity.md	Key Takeaways	12	18	{{OWNER_NAME}} owns this vault**; every fact on this card was stated by the owner at setup or since, and nothing is inferred from a name. - **Work**: 
wiki/profile/owner-identity.md	About	19	23	Written at setup from the owner's own answers. Add a fact here only when the owner states it; an unknown stays absent rather than guessed (AGENTS.md §
wiki/profile/owner-identity.md	Related	24	27	[[now|Now]] — what is in flight, generated from the open Status Logs. - [[vault-operations|How this vault is run]] — the query ladder, git and the aud
wiki/tooling/excalidraw-drawings.md	Key Takeaways	12	22	Drawings stay editable Excalidraw files** — a design rule, not a preference — at `Excalidraw/<topic>/<name>.excalidraw.md`, never inside `wiki/` and n
wiki/tooling/excalidraw-drawings.md	How A Drawing Lives In The Vault	23	48	Where**: `Excalidraw/<topic>/`, one level deep, mirroring the wiki topics   (`Excalidraw/tooling/`, `Excalidraw/acme-engagement/`). The builder fails 
wiki/tooling/excalidraw-drawings.md	Working On Drawings Together	49	64	The skill treats a drawing as ongoing work, not a one-off export: 1. For a new drawing, pull the real names from the vault first, pick a pattern    th
wiki/tooling/excalidraw-drawings.md	Drawings In Notes	65	81	A figure section in the owning node, never in Key Takeaways: - `### Figure N — caption`, then `![[name.excalidraw|800]]`, a caption, the   transcripti
wiki/tooling/excalidraw-drawings.md	The Tool	82	96	`node tools/excalidraw.js <command>`, from the vault root: | Command | Does | | --- | --- | | `list` | every drawing, newest first, with where it is e
wiki/tooling/excalidraw-drawings.md	Rendering Offline	97	106	The Excalidraw plugin's `main.js` (2.27.3, as of 17 September 2026) carries React and its Excalidraw build (fork 0.18.134) as base64-deflate strings. 
wiki/tooling/excalidraw-drawings.md	The Live Canvas And Share Links	107	119	`npx -y mcp-excalidraw-server@2.0.0` (MIT, yctimlin) starts a canvas on a   local port — 3917 by convention — that the owner can open in a browser and
wiki/tooling/excalidraw-drawings.md	Where The Skill Came From	120	135	The skill was built in Vifert's vault on 17 September 2026. He asked for either the two published skills or a custom one built with skill-creator, the
wiki/tooling/excalidraw-drawings.md	Related	136	142	[[vault-skills|Vault skills]] — vault-excalidraw beside the three gated skills. - [[vault-image-rules|Vault image rules]] — the transcription rules a 
wiki/tooling/notebooklm-compile-support.md	Key Takeaways	12	22	NotebookLM is a **compile instrument, never a source and never in the query path** — it answers only from the sources it is handed, so it cannot know 
wiki/tooling/notebooklm-compile-support.md	Why it earns a place, and only these two	23	35	A grounded, citing reader is genuinely useful against a document being compiled. It reads the whole source at once, answers from it alone, and attache
wiki/tooling/notebooklm-compile-support.md	The measurement behind these rules	36	55	Thirteen sources — five research papers, a resume, four memory exports, a work tracker and three daily notes — went into one notebook in Vifert's vaul
wiki/tooling/notebooklm-compile-support.md	How to ask	56	67	Adversarial by construction.** "Report every place X appears, quote each,   and say explicitly whether they differ" — never "what does the paper say  
wiki/tooling/notebooklm-compile-support.md	Known limits	68	78	A PDF near 1.7 MB fails at `upload_finalize` in notebooklm-py 0.8.2 —   reproducibly, and not a timeout. - A failed `source add` leaves a zombie sourc
wiki/tooling/notebooklm-compile-support.md	Setting it up	79	86	The `notebooklm` skill and CLI are global, not part of this vault: teng-lin's [notebooklm-py](https://github.com/teng-lin/notebooklm-py) (MIT), instal
wiki/tooling/notebooklm-compile-support.md	Related	87	95	[[vault-skills|Vault skills]] — NotebookLM is used only inside `/vault-compile`. - [[vault-operations|how the vault is built and audited]] — the compi
wiki/tooling/obsidian-plugins.md	Key Takeaways	12	20	Excalidraw is the one required plugin**: the drawing tools run on its engine. `node tools/install-excalidraw.js` installs a pinned release, checksum-v
wiki/tooling/obsidian-plugins.md	The Four Plugins	21	29	Plugin | Id | What it does here | Can it rewrite notes? | Settings file | | --- | --- | --- | --- | --- | | **Excalidraw** (required) | `obsidian-exca
wiki/tooling/obsidian-plugins.md	The Settings The Build Checks	30	49	Listed in `OBSIDIAN_SETTINGS` in `tools/lib/rules.js`. Obsidian writes its in-memory settings back over a file edited while it is open (D69), so the b
wiki/tooling/obsidian-plugins.md	Installing	50	61	Excalidraw**: `node tools/install-excalidraw.js`, then   `node tools/excalidraw.js check`, which names the browser that rendered.   `--check` reports 
wiki/tooling/obsidian-plugins.md	Graph Colours	62	87	Optional, and off until setup records the owner's background (D86). When on, every folder has its own colour in Obsidian's graph: each topic folder di
wiki/tooling/obsidian-plugins.md	Related	88	93	[[excalidraw-drawings|Excalidraw drawings]] — the drawing workflow the required plugin serves. - [[vault-capture-protocol|Vault capture protocol]] — w
wiki/tooling/second-brain-architecture-figure.md	Key Takeaways	12	19	The architecture drawing shows the whole machine** in five stages — capture, the wiki graph, the build, the index layer, answering — with the guards b
wiki/tooling/second-brain-architecture-figure.md	The Drawing	20	21	
