wiki/profile/now.md	Now	Nothing is in flight — no node has an open Status Log.
wiki/profile/owner-identity.md	{{OWNER_NAME}} — Identity	**{{OWNER_NAME}} owns this vault**; every fact on this card was stated by the owner at setup or since, and nothing is inferred from a name.\n**Work**: {{OWNER_WORK}}\n**Where**: {{OWNER_LOCATION}}\n**How answers should read**: {{OWNER_ANSWER_STYLE}}
wiki/tooling/excalidraw-drawings.md	Excalidraw Drawings	**Drawings stay editable Excalidraw files** — a design rule, not a preference — at `Excalidraw/<topic>/<name>.excalidraw.md`, never inside `wiki/` and never swapped for a PNG.\n**A note embeds the live drawing** as a figure and transcribes it, adding `<!-- drawing-hash: … -->`: grep reads the text, never the drawing (D72).\n**The build catches a drawing edited after its transcription**: the builder warns and the audit fails until the text and hash are updated.\n**The `vault-excalidraw` skill** makes and changes drawings round by round with the owner; it lives in `.claude/skills/vault-excalidraw/`.\n**`tools/excalidraw.js` does the editing and rendering**, running the Excalidraw build bundled in the vault's own Excalidraw plugin in a headless Chromium browser, offline — about two seconds a render.\n**The live canvas** is yctimlin's `mcp-excalidraw-server` 2.0.0, for drawing together in a browser, Mermaid import and excalidraw.com share links, made only when the owner asks.\n**The skill was built, not installed**: coleam00's and yctimlin's skills clashed with each other and with the vault's rules, so it keeps their design method and canvas and adds the vault's rules.\n**Drawings save uncompressed and no formatter may touch them** (D71), so git diffs are readable and nothing reformats the JSON below "# Excalidraw Data".
wiki/tooling/notebooklm-compile-support.md	NotebookLM in the Compile	NotebookLM is a **compile instrument, never a source and never in the query path** — it answers only from the sources it is handed, so it cannot know a claim this vault later corrected (D74).\nTwo sanctioned uses: **batch triage before compile step 1** and **a reader inside the D38 verification pass** (step 5). Both are optional, and shape candidates rather than content.\n**Every finding is confirmed against the file in `raw/` before it changes a node**, and the node cites that file. The builder fails a claim attributed to NotebookLM outside a log or verbatim node.\n**Question phrasing decides fidelity.** A fidelity question names the places to check, demands each quoted, and requires an explicit statement about disagreement; a casual one silently picks a side.\nMeasured in Vifert's vault on 2026-09-18 against known ground truth: sixteen table values exact, two dated log entries reproduced character for character, and a paper's internal contradiction located and flagged.\nThe same session reproduced a **retired claim** — a person's corrected employer — faithfully, because the stale export it had been handed still said so, though the claim was fenced in `probes.json`.\n**A card lookup beats a notebook query on every axis**: 92 ms and ~220 tokens, offline and deterministic, against 18–23 s on rate-limited undocumented endpoints.\n**Uploading sources is the owner's call**, made once at setup and recorded in `/vault-compile` § 4 (`.claude/skills/vault-compile/SKILL.md`).
wiki/tooling/obsidian-plugins.md	Obsidian Plugins	**Excalidraw is the one required plugin**: the drawing tools run on its engine. `node tools/install-excalidraw.js` installs a pinned release, checksum-verified, and keeps the shipped settings.\n**Calendar, Iconize and Templater are recommended**, installed by the owner from Obsidian's community browser; each is configured the moment it is installed, because its settings ship in `.obsidian/plugins/<id>/data.json`.\n**No plugin runs outside Obsidian**, so Claude never calls one; it edits the files and settings a plugin reads.\n**The build checks a plugin's settings only once the plugin is installed** (D79); a vault without Excalidraw fails its build with the install command.\n**Plugin code is never committed**: only settings travel with the repository, so a clone is under a megabyte and carries nobody else's code.\n**A plugin the owner adds is theirs to configure** — kept away from logs, verbatim full texts and `Excalidraw/` if it can rewrite notes.
wiki/tooling/second-brain-architecture-figure.md	Second Brain Architecture Drawing	**The architecture drawing shows the whole machine** in five stages — capture, the wiki graph, the build, the index layer, answering — with the guards beneath and a sixth zone for what Claude loads, and when.\n**The drawing argues a one-way pipeline** with one validating step: nothing reaches the index layer except through `build-index.js`, and nothing reaches an answer except through the index.\n**Zone 6 shows the context cost**: an always-on `CLAUDE.md` core, rules files that load by path, gated and open skills, two read-only agents that skip `CLAUDE.md`, and hooks that enforce three traps.\n**Colour carries meaning in the drawing**: orange is the owner's input, purple a process Claude runs, blue the main path, green generated output, red what refuses a mistake, violet a read-only agent, amber an outside adviser.\n**The drawing carries no counts on purpose**, so it never goes stale; live figures come from `/vault-audit`. Edit it in Obsidian, then update the transcription and its drawing-hash.
wiki/tooling/second-brain-architecture-layout.md	Second Brain Folder Layout	**Level 1 under `wiki/` is always the topic**; level 2, when present, is the node's kind (`decisions/`, `worklog/`) or `assets/`. Nothing goes deeper than three levels.\n**`raw/` is an inbox and `raw/_compiled/` is disposable** — neither is ever in the query path, and anything sitting in `raw/` outside `_compiled/` is uncompiled by definition.\n**A client or employer engagement is self-contained**: when one has its own topic, everything about it lives under `wiki/<engagement>/`, so the whole engagement can be archived as one folder. People are the exception, since a person outlives a project.\n**Folders cost nothing at query time** — queries grep the index rather than walk directories, and a deeper path adds about three tokens per row.\n**Folders may encode only stable properties** (topic, kind), never status or recency, because a folder that is wrong until someone moves the file is a stale index by another name.\n**Drawings cannot live under `wiki/`** — they sit in `Excalidraw/<topic>/`, mirroring the wiki topics one level deep (D68).
wiki/tooling/second-brain-architecture.md	Second Brain Architecture	**{{OWNER_NAME}}'s second brain**, Obsidian + Claude Code at `{{VAULT_PATH}}`, on the architecture Vifert designed and built. It serves four jobs: retrieval, idea dump, daily updates, and shared working context.\n**The one design metric is query cost.** Capture may be arbitrarily slow; answering targets **30–50× cheaper** than loading source material — roughly 350–550 tokens for a point lookup.\n**The central idea: one file need not be both cheap to read and complete.** The *answer surface* is hard-capped at 8 bullets / 1500 bytes; the *body* is uncapped. Retrieval reads the surface; only depth questions touch the body, and then only exact lines.\n**Five generated index files** are the backbone — `_index` (route), `_cards` (answer), `_sections` (exact line ranges), `_links` (edges), `_mentions` (people over time) — plus a generated [[now|Now]] page. All grepped, never read whole.\n**Nodes declare a `kind`**, which sets the body budget and read path. Logs are uncapped because they are append-only and read by date range.\n**`raw/_compiled/` is disposable.** Day-level records live in the logs, named entities in `detail` nodes, papers as verbatim full text with figures transcribed.\n**Folders are for browsing, not cost**: topic first, then only `decisions/`, `worklog/` or `assets/`. The rebuild script validates all of it.
wiki/tooling/vault-capture-protocol.md	Vault Capture Protocol	**A work update for a self-contained engagement** goes to its `wiki/<engagement>/worklog/<prefix>-YYYY-MM.md`; **any other dated update** to `wiki/journal/journal-YYYY-MM.md` — both under today's `### YYYY-MM-DD (D-Mon-YY)` heading, the file created if the month is new.\n**A status change** ("X started", "Y is blocked") is a dated row in the owning node's `## Status Log`; [[now|Now]] regenerates from it. Status is never restated anywhere else.\n**"Idea:"** becomes a node in `wiki/ideas/` with a `status` of `seed`, `exploring`, `active`, `parked` or `done`.\n**Decisions live with what they decide** — a project's calls in its `decisions/` subfolder; a top-level `decisions/` only for significant personal decisions.\n**A file, PDF or URL** goes to `raw/` for a full compile: a verbatim full-text node, a distilled hub, every kept figure transcribed — then verified against the source before commit.\n**An image** goes to its owner's topic `assets/`, named `<owner>--<desc>.png` and transcribed; an Obsidian paste lands beside the note first — see [[vault-image-rules]].\n**Every capture rebuilds the index in the same step**, and is finished only when the build validates clean.
wiki/tooling/vault-image-rules.md	Vault Image Rules	**Text is canonical; the image is a view.** Grep cannot see pixels, and reading one image costs ~1,000–1,600 tokens — more than three whole lookups — so images are kept for the owner's eyes and every fact they carry also exists as text.\n**Every kept image is transcribed by type**: diagrams as Mermaid flowcharts, charts as tables of values, image tables as markdown tables, equations as LaTeX. The build fails an image whose section holds under 200 characters of text.\n**One figure, one section** — `### Figure N — caption`, the embed, then the transcription — so each figure is its own addressable range, reached for a few hundred tokens.\n**Stored as `wiki/<topic>/assets/<owner-slug>--<desc>.png`** — each topic has its own `assets/`, created with its first image. The builder fails misnamed, misplaced, orphaned or broken images.\n**Never in Key Takeaways** — a figure's finding goes in as a sentence.\n**A paste in Obsidian lands in `assets/` beside the note it was pasted into** (`attachmentFolderPath: ./assets`, set 12 September 2026). Capture then files it under the topic of the node that transcribes it.\n**The delete test**: if the image vanished, every question about it must still be answerable from the text.
wiki/tooling/vault-operations.md	Vault Operations	**The query ladder: route on `_index.tsv`, then pull exactly one card from `_cards.tsv`** — the prime directive's 30–50× target, which `node tools/audit.js` measures live on every audit. Depth comes from exact `_sections.tsv` line ranges; broad card greps are the failure mode.\n**Five index files**: `_index`, `_cards`, `_sections`, `_links`, and `_mentions.tsv` — every dated log entry that names a person, so "every time I worked with X" is one grep.\n**Status questions go to [[now|Now]]**, generated from each item's Status Log. Figure questions are answered from transcriptions — an image is never read at query time.\n**Version control**: private repo `{{GITHUB_REPO}}`, branch `main`, git CLI only. Commit at the end of a session that changed the vault, never with a stale index, then push.\n**⚠ Obsidian can silently drop aliases** when it rewrites frontmatter. The build now warns on any alias lost since the last commit.\n**Audits run the tools** — `selftest.js`, `build-index.js`, `audit.js` — the audit only when the owner types `/vault-audit` or `/vault-deep-audit` — and **every defect is fixed, root-caused, guarded and recorded** in `tools/DEFECTS.md`.\n**PDF and image tooling installed 2026-09-11**: PyMuPDF, pdfplumber, pdfminer.six, python-pptx, Pillow. The Obsidian CLI is deliberately not used.
wiki/tooling/vault-skills.md	Vault Skills	**Compiling `raw/` and auditing the vault run only when the owner types the command** — `/vault-compile`, `/vault-audit` or `/vault-deep-audit` (D78, inherited from Vifert's vault).\n**Four gated skills carry `disable-model-invocation: true`** — the compile, the two audits and `/vault-handoff` — so Claude Code itself refuses to start them; asking in plain words gets a request to type the command.\n**`/vault-compile` with no argument takes the next batch of the compile plan in HANDOFF.md**, compiles everything if little waits, or writes a plan first; `/vault-compile raw/daily` compiles just that folder.\n**`/vault-audit` is the cheap health check** — self-test, build and `audit.js`, their output kept in a file, reported as problems, watch items and query cost, then which to fix.\n**`/vault-deep-audit` adds the expensive checks** — facts answerable only from `raw/`, judgement on watch items, and a gap audit by agents asking questions in the owner's words; a topic argument limits it.\n**vault-excalidraw and vault-tailor are the vault skills Claude may start on its own** — drawings round by round, and fitting the vault to the owner's needs: an interview in rounds, then new skills, subagents or rules they choose.\n**Captures, the build and the self-test are never gated** — and the build also replays the fences and checks people links, `[sic]` notes and Obsidian settings.
wiki/tooling/vault-tag-facets.md	Vault Tag Facets	**Vault tags are nested `facet/value`** — `tech/pyspark`, `rel/co-author`, `field/nlp` — a design adopted in Vifert's vault on 16 September 2026, when 206 flat free-text tags on 119 nodes became 171 faceted ones.\n**Nesting costs nothing at query time**: the L0 route prints only path and summary, and a grep for `pyspark` still matches `tech/pyspark`. The query-cost benchmark held at a 43× median.\n**Nesting turns facet questions into one cheap filter** — "who are my co-authors?" is `cut -f1,7 wiki/_index.tsv | grep rel/co-author`: 14 rows, about 220 tokens.\n**Ten facets are registered** in `tools/lib/rules.js`: org, rel, tech, field, method, domain, venue, activity, form, subject — plus one per self-contained work engagement, added when it is.\n**A tag never restates its node's topic or kind** — no `acme` on nodes in the Acme engagement's topic, no `people` on person nodes, and an engagement's logs carry no tags.\n**The builder fails tag drift** (D65): flat or unregistered tags, dates and statuses, listed synonyms such as `field/rl`, plural or hyphen near-duplicates, and inline `#tags` that break the same rules.\n**Tags are renamed by script**: Claude migrates every node carrying a tag in one pass; a tag renamed by hand in Obsidian is re-validated by the next rebuild.
